"Haul","Time of day","Lights","Shot time","Haul duration (h)","Depth (m)","N_Haddock","Q_Haddock","N_Grey gurnard","Q_Grey gurnard","N_Megrim","Q_Megrim","N_Whiting","Q_Whiting","N_Northern squid","Q_Northern squid"
1,"Night","Absent","2017-10-26 23:10",3.5,77,2469,0.592578114730664,42,0.87347027972028,36,0.982905982905983,1,1,5,1
1,"Night","Present","2017-10-26 23:10",3.5,77,2247,0.591379653040459,31,0.883982683982684,41,0.982363315696649,67,0.847619047619048,9,1
2,"Day","Absent","2017-10-27 14:30",4,75,2391.44,0.533064982761007,331.65,0.650550930123925,391.5,0.815652757632839,318.63,0.828238107219164,19,1
2,"Day","Present","2017-10-27 14:30",4,75,2927.75,0.594113817306122,815.25,0.585953177257525,51.75,0.983343337334934,215.5,0.859292611828109,11,1
3,"Night","Absent","2017-10-28 01:35",2,73,904,0.731140350877192,105,0.587878787878788,9,0.981203007518797,64,0.875320512820513,3,1
3,"Night","Present","2017-10-28 01:35",2,73,551,0.728070175438597,27,0.8,24,0.96140350877193,115,0.810897435897436,5,1
4,"Day","Absent","2017-10-28 07:40",3.16666666666667,81,579.75,0.622487143525012,86.5,0.794565217391304,113.75,0.822410606206773,32.25,0.929685157421289,5,1
4,"Day","Present","2017-10-28 07:40",3.16666666666667,81,1625.5,0.570243109796093,91.75,0.670212765957447,43,0.95625,56.25,0.953915095018198,9,1
5,"Day","Absent","2017-10-28 14:15",2.66666666666667,77,745.5,0.649227929157933,788.5,0.604099025974026,40,0.923376623376623,52.5,0.8699000999001,2,1
5,"Day","Present","2017-10-28 14:15",2.66666666666667,77,1542.75,0.588905918524998,269,0.693158783783784,9.25,0.97972972972973,118.5,0.82620085995086,2,1
6,"Night","Absent","2017-10-29 21:05",2.08333333333333,79,216,0.826721852708695,35.5,0.782857142857143,20.5,0.952100840336134,93.25,0.730667578035999,1,1
6,"Night","Present","2017-10-29 21:05",2.08333333333333,79,194.1,0.905778342061687,6.2,0.965079365079365,10.1,0.989563567362429,72.8,0.921739833454604,1,1
7,"Night","Absent","2017-10-30 02:05",2.5,77,958,0.55680451209788,114,0.621212121212121,9,1,102,0.756787330316742,NA,NA
7,"Night","Present","2017-10-30 02:05",2.5,77,855.09,0.635636817126992,87.16,0.672350110547535,10,1,118.73,0.752260677024336,NA,NA
8,"Day","Absent","2017-10-30 13:55",2.66666666666667,75,292.05,0.839850495329209,97.5,0.663461538461539,93.5,0.956052891652176,21,0.967692307692308,19,1
8,"Day","Present","2017-10-30 13:55",2.66666666666667,75,629.5,0.785259069597737,62.5,0.692307692307692,63,0.958333333333333,41,0.934461538461538,17,1
9,"Night","Absent","2017-10-30 21:25",2.08333333333333,77,1883.25,0.654416136782051,173.25,0.534332688588008,38,0.924242424242424,45.75,0.862673083417764,0,1
9,"Night","Present","2017-10-30 21:25",2.08333333333333,77,1392.75,0.703592142560265,111.75,0.705029013539652,16,1,55.5,0.822582047003198,2,1
10,"Day","Absent","2017-10-31 07:50",2.66666666666667,73,126.75,0.922145328719723,34.25,0.807692307692307,76,0.959465343086033,17.25,0.988888888888889,6,1
10,"Day","Present","2017-10-31 07:50",2.66666666666667,73,224.5,0.830178179504209,41.5,0.827505827505828,56.5,0.960400164945619,69.5,0.886313131313131,4,1
11,"Day","Absent","2017-10-31 13:35",2.83333333333333,71,7.4,0.976608187134503,25.8,0.87037037037037,73.2,0.956338149294806,21.8,0.990740740740741,9,1
11,"Day","Present","2017-10-31 13:35",2.83333333333333,71,7,1,9,1,35,1,23,1,6,1
12,"Night","Absent","2017-10-31 22:15",2.08333333333333,75,97,1,17,1,10,1,40,1,3,1
12,"Night","Present","2017-10-31 22:15",2.08333333333333,75,69.54,0.956393866673918,5.32,0.954887218045113,7,1,58.65,0.989750102821011,3,1
13,"Night","Absent","2017-11-01 03:10",2.5,75,31.2,0.983333333333334,33.6,0.965909090909091,13.8,0.986666666666667,69.6,0.978572794666764,1,1
13,"Night","Present","2017-11-01 03:10",2.5,75,24,1,6,1,10,1,97,1,0,1
14,"Day","Absent","2017-11-01 14:15",2.5,77,206.5,0.887647151663695,28,0.933333333333333,59.5,0.97012617012617,93,0.903901160019069,10,1
14,"Day","Present","2017-11-01 14:15",2.5,77,105,0.962499999999999,13,0.953333333333333,29.75,0.982312925170068,76,0.978306878306878,6,1
15,"Night","Absent","2017-11-01 21:15",1.91666666666667,79,1203,0.511677233165107,NA,NA,23,0.956140350877193,17.2,0.967787114845938,2,1
15,"Night","Present","2017-11-01 21:15",1.91666666666667,79,665.77,0.717267095617575,NA,NA,19,0.956140350877193,27.27,0.924050239024907,2,1
16,"Day","Absent","2017-11-02 09:45",2.58333333333333,75,1947,0.65336673830259,21,0.870748299319728,198,0.827581969383972,65,0.946194903581267,8,1
16,"Day","Present","2017-11-02 09:45",2.58333333333333,75,871.61,0.635769116383659,19.98,0.878592878592879,70.96,0.899604547044647,37.97,0.891456541572015,3,1
17,"Night","Absent","2017-11-02 23:10",1.08333333333333,79,478.45,0.73204651418712,11.33,0.785765379113018,11,0.97037037037037,8,0.981481481481481,0,1
17,"Night","Present","2017-11-02 23:10",1.08333333333333,79,389,0.837418300653595,16,0.761904761904762,25.5,0.880952380952381,24.5,0.94047619047619,3,1
18,"Night","Absent","2017-11-03 03:00",1.08333333333333,77,454.9,0.756972982024025,84.9,0.757518796992481,12,0.966666666666667,33.9,0.915530709891612,0,1
18,"Night","Present","2017-11-03 03:00",1.08333333333333,77,445.75,0.864844641560328,72.75,0.859133126934984,14.5,0.957516339869281,62.5,0.927170868347339,1,1
19,"Day","Absent","2017-11-03 12:25",1.16666666666667,81,475.75,0.771421739427479,14.75,0.88961038961039,21,1,21,0.94047619047619,0,1
19,"Day","Present","2017-11-03 12:25",1.16666666666667,81,676,0.721004159239454,48,0.715151515151515,18,0.96140350877193,98,0.741176470588235,1,1
20,"Day","Absent","2017-11-03 15:20",1.25,77,1165.14,0.665455909110764,16.66,0.931948615281949,20.66,0.979474905715115,15,0.963333333333333,1,1
20,"Day","Present","2017-11-03 15:20",1.25,77,798,0.669337028874196,53,0.825925925925926,30,0.937037037037037,65,0.858769841269841,0,1
21,"Night","Absent","2017-11-04 02:40",5.83333333333333,64,63,0.944677871148459,4.75,0.98469387755102,17.25,0.980519480519481,70.25,0.904761904761905,21,1
21,"Night","Present","2017-11-04 02:40",5.83333333333333,64,122.5,0.891806722689075,2.5,0.978571428571429,0,1,104.5,0.85,20,1
22,"Day","Absent","2017-11-04 10:10",6.66666666666667,49,58,0.944444444444444,158,0.708333333333333,29.75,0.969451548735436,97.5,0.961685823754789,14,1
22,"Day","Present","2017-11-04 10:10",6.66666666666667,49,60,0.941001855287569,122.5,0.574404761904762,31.5,0.984754376058724,34,1,18.75,0.996428571428571
